
                  X               _temp_1     

                0.              -228.132E-06  
                2.65115E-06      145.017      
                5.30057E-06     -212.675      
                7.95002E-06       58.9198     
               10.6015E-06       -40.859      
               13.2513E-06      -232.036      
               15.901E-06        -44.2509     
               18.5508E-06      -115.154      
               21.2006E-06      -235.935      
               23.8503E-06       -78.6179     
               26.5001E-06      -179.285      
               29.1516E-06      -231.021      
               31.8E-06          -77.8909     
               34.4505E-06      -224.751      
               37.101E-06       -178.67       
               39.7515E-06      -125.678      
               42.4002E-06      -231.023      
               45.0507E-06      -173.371      
               47.7012E-06      -158.893      
               50.3516E-06      -210.286      
               53.0004E-06      -173.997      
               55.6509E-06      -162.34       
               58.3013E-06      -220.326      
               60.9501E-06      -166.585      
               63.6007E-06      -188.675      
               66.2515E-06      -220.255      
               68.9005E-06      -165.407      
               71.5513E-06      -208.917      
               74.2003E-06      -204.324      
               76.8511E-06      -189.375      
               79.5001E-06      -217.204      
               82.1509E-06      -208.722      
               84.8017E-06      -198.612      
               87.4507E-06      -223.775      
               90.1015E-06      -211.453      
               92.7505E-06      -209.6        
               95.4013E-06      -230.55       
               98.0503E-06      -211.581      
              100.701E-06       -227.784      
              103.35E-06        -231.         
              106.001E-06       -222.499      
              108.652E-06       -233.274      
              111.301E-06       -232.146      
              113.951E-06       -235.409      
              116.601E-06       -239.411      
              119.251E-06       -239.524      
              121.9E-06         -243.716      
              124.551E-06       -250.543      
              127.2E-06         -247.214      
              129.851E-06       -249.718      
              132.502E-06       -256.717      
              135.151E-06       -251.162      
              137.801E-06       -256.462      
              140.45E-06        -261.327      
              143.101E-06       -259.165      
              145.75E-06        -264.936      
              148.4E-06         -267.744      
              151.05E-06        -267.467      
              153.701E-06       -271.405      
              156.351E-06       -275.95       
              159.E-06          -265.121      
              161.651E-06       -275.817      
              164.301E-06       -279.724      
              166.95E-06        -281.158      
              169.6E-06         -285.676      
              172.251E-06       -285.174      
              174.901E-06       -289.734      
              177.551E-06       -292.142      
              180.2E-06         -293.158      
              182.851E-06       -298.717      
              185.5E-06         -273.681      
              188.151E-06       -290.689      
              190.801E-06       -297.948      
              193.45E-06        -301.861      
              196.1E-06         -302.924      
              198.751E-06       -307.521      
              201.401E-06       -309.638      
              204.05E-06        -310.802      
              206.7E-06         -312.468      
              209.35E-06        -227.504      
              212.001E-06       -258.097      
              214.65E-06        -300.284      
              217.301E-06       -315.64       
              219.951E-06       -321.937      
              222.6E-06         -302.53       
              225.251E-06       -313.219      
              227.9E-06         -320.784      
              230.551E-06       -316.455      
              233.201E-06       -212.723      
              235.851E-06       -288.367      
              238.501E-06       -324.992      
              241.151E-06       -304.735      
              243.8E-06         -193.386      
              246.451E-06       -187.857      
              249.101E-06       -320.758      
              251.751E-06       -317.645      
              254.401E-06       -171.023      
              257.051E-06       -261.608      
              259.701E-06       -273.324      
              262.35E-06        -297.419      
              265.001E-06       -290.579      
              267.651E-06       -314.22       
              270.301E-06       -311.522      
              272.951E-06       -337.862      
              275.6E-06         -345.107      
              278.25E-06        -319.377      
              280.901E-06       -326.416      
              283.551E-06        -85.5601     
              286.2E-06         -197.483      
              288.85E-06        -260.803      
              291.501E-06       -320.136      
              294.151E-06       -325.25       
              296.8E-06         -319.279      
              299.45E-06        -311.389      
              302.101E-06       -194.925      
              304.751E-06       -183.15       
              307.401E-06       -269.956      
              310.051E-06       -169.59       
              312.701E-06       -191.81       
              315.351E-06       -269.202      
              318.001E-06       -236.172      
              320.651E-06       -263.093      
              323.301E-06       -285.134      
              325.95E-06        -255.979      
              328.601E-06       -242.294      
              331.251E-06       -248.719      
              333.9E-06         -280.388      
              336.551E-06       -206.553      
              339.201E-06       -197.416      
              341.852E-06       -224.432      
              344.5E-06         -246.616      
              347.15E-06        -268.022      
              349.801E-06       -187.554      
              352.451E-06       -220.247      
              355.1E-06         -230.539      
              357.751E-06       -201.987      
              360.4E-06         -157.028      
              363.051E-06       -172.099      
              365.7E-06         -216.126      
              368.351E-06       -249.866      
              371.E-06          -194.083      
              373.65E-06        -242.959      
              376.302E-06       -193.912      
              378.951E-06       -239.026      
              381.601E-06       -226.159      
              384.25E-06        -190.842      
              386.901E-06       -246.163      
              389.55E-06        -215.142      
              392.2E-06         -197.887      
              394.85E-06        -185.468      
              397.501E-06       -194.607      
              400.15E-06        -203.575      
              402.801E-06       -177.481      
              405.45E-06        -230.07       
              408.1E-06         -220.489      
              410.751E-06       -130.555      
              413.4E-06         -199.101      
              416.05E-06        -184.05       
              418.701E-06       -255.009      
              421.351E-06       -251.361      
              424.001E-06       -234.721      
              426.65E-06        -240.933      
              429.3E-06         -224.111      
              431.95E-06        -182.341      
              434.6E-06         -247.154      
              437.25E-06        -240.08       
              439.901E-06       -244.504      
              442.551E-06       -237.872      
              445.201E-06       -246.837      
              447.85E-06        -218.972      
              450.5E-06         -243.788      
              453.151E-06       -244.912      
              455.801E-06       -218.701      
              458.451E-06       -244.341      
              461.1E-06         -221.473      
              463.75E-06        -240.1        
              466.401E-06       -209.293      
              469.051E-06       -201.037      
              471.701E-06       -233.522      
              474.35E-06        -274.078      
              477.E-06          -200.83       
              479.651E-06       -231.969      
              482.301E-06       -234.81       
              484.95E-06        -237.427      
              487.6E-06         -224.053      
              490.251E-06       -238.665      
              492.901E-06       -188.741      
              495.551E-06       -228.71       
              498.201E-06       -228.011      
              500.85E-06        -263.114      
              503.501E-06       -218.023      
              506.151E-06       -249.447      
              508.801E-06       -192.968      
              511.451E-06       -194.172      
              514.101E-06       -214.579      
              516.75E-06        -242.595      
              519.401E-06       -163.241      
              522.051E-06       -230.967      
              524.701E-06       -232.826      
              527.351E-06       -233.406      
              530.E-06          -238.382      
              532.65E-06        -208.121      
              535.301E-06       -260.428      
              537.951E-06       -252.928      
              540.6E-06         -225.963      
              543.251E-06       -307.348      
              545.901E-06       -245.674      
              548.551E-06       -234.671      
              551.201E-06       -128.044      
              553.851E-06       -250.387      
              556.501E-06       -276.609      
              559.151E-06       -259.509      
              561.801E-06       -186.795      
              564.45E-06        -208.316      
              567.1E-06         -144.992      
              569.75E-06        -215.787      
              572.401E-06       -228.925      
              575.051E-06       -234.517      
              577.7E-06         -185.861      
              580.351E-06       -192.033      
              583.001E-06       -184.59       
              585.65E-06        -231.687      
              588.3E-06         -196.166      
              590.951E-06       -216.224      
              593.6E-06         -207.867      
              596.251E-06       -206.241      
              598.9E-06         -243.72       
              601.55E-06        -205.296      
              604.201E-06       -238.845      
              606.851E-06       -227.47       
              609.5E-06         -219.21       
              612.15E-06        -216.884      
              614.801E-06       -191.046      
              617.451E-06       -213.885      
              620.101E-06       -241.45       
              622.751E-06       -248.646      
              625.401E-06       -235.844      
              628.05E-06        -229.469      
              630.701E-06       -213.231      
              633.351E-06       -195.388      
              636.001E-06       -197.751      
              638.651E-06       -228.341      
              641.301E-06       -237.943      
              643.95E-06        -205.609      
              646.601E-06       -211.187      
              649.25E-06        -217.916      
              651.901E-06       -192.386      
              654.551E-06       -200.226      
              657.2E-06         -199.457      
              659.85E-06        -198.558      
              662.501E-06       -199.867      
              665.151E-06       -210.542      
              667.8E-06         -212.688      
              670.45E-06        -212.481      
              673.1E-06         -209.584      
              675.75E-06        -215.933      
              678.4E-06         -192.568      
              681.05E-06        -206.803      
              683.7E-06         -208.713      
              686.351E-06       -221.195      
              689.E-06          -232.469      
              691.65E-06        -218.118      
              694.301E-06       -211.557      
              696.95E-06        -209.079      
              699.601E-06       -213.917      
              702.25E-06        -217.295      
              704.9E-06         -213.79       
              707.551E-06       -218.444      
              710.201E-06       -215.313      
              712.851E-06       -227.111      
              715.501E-06       -212.178      
              718.15E-06        -213.592      
              720.801E-06       -224.753      
              723.451E-06       -230.212      
              726.101E-06       -231.963      
              728.75E-06        -220.339      
              731.4E-06         -202.428      
              734.05E-06        -219.366      
              736.7E-06         -224.988      
              739.35E-06        -218.619      
              742.001E-06       -230.069      
              744.651E-06       -215.313      
              747.3E-06         -224.74       
              749.951E-06       -226.269      
              752.601E-06       -225.286      
              755.251E-06       -231.897      
              757.901E-06       -222.858      
              760.55E-06        -222.28       
              763.2E-06         -222.725      
              765.851E-06       -226.738      
              768.501E-06       -218.872      
              771.151E-06       -224.706      
              773.8E-06         -223.262      
              776.45E-06        -226.143      
              779.1E-06         -223.852      
              781.751E-06        -78.4454     
              784.401E-06       -196.52       
              787.051E-06       -207.914      
              789.701E-06       -227.163      
              792.351E-06       -176.77       
              795.E-06          -228.356      
              797.651E-06       -204.278      
              800.3E-06         -219.079      
              802.951E-06       -223.748      
              805.601E-06       -213.521      
              808.251E-06       -214.256      
              810.901E-06       -230.076      
              813.55E-06        -231.745      
              816.201E-06       -224.486      
              818.851E-06       -201.708      
              821.5E-06         -223.711      
              824.15E-06        -227.905      
              826.801E-06       -221.469      
              829.451E-06       -230.763      
              832.101E-06       -231.171      
              834.75E-06        -231.444      
              837.4E-06         -226.477      
              840.05E-06        -223.237      
              842.7E-06         -230.972      
              845.351E-06       -225.208      
              848.001E-06       -218.751      
              850.65E-06        -220.324      
              853.3E-06         -221.11       
              855.951E-06       -204.279      
              858.6E-06         -223.977      
              861.251E-06       -226.754      
              863.9E-06         -229.125      
              866.55E-06        -232.547      
              869.201E-06       -180.495      
              871.85E-06        -236.729      
              874.501E-06       -214.52       
              877.151E-06       -231.851      
              879.801E-06       -233.779      
              882.451E-06       -230.185      
              885.101E-06       -205.343      
              887.75E-06        -222.773      
              890.401E-06       -232.784      
              893.051E-06       -227.418      
              895.7E-06         -208.179      
              898.35E-06        -222.089      
              901.001E-06       -233.775      
              903.651E-06       -126.868      
              906.301E-06       -195.311      
              908.95E-06        -191.085      
              911.6E-06         -233.261      
              914.25E-06        -219.121      
              916.901E-06       -232.169      
              919.551E-06       -189.25       
              922.2E-06         -221.67       
              924.85E-06        -213.495      
              927.501E-06       -203.449      
              930.151E-06       -216.919      
              932.8E-06         -247.532      
              935.451E-06       -221.439      
              938.101E-06       -231.767      
              940.751E-06       -230.452      
              943.4E-06         -215.745      
              946.051E-06       -214.403      
              948.701E-06       -224.149      
              951.35E-06        -225.664      
              954.001E-06       -204.005      
              956.65E-06        -209.159      
              959.301E-06       -200.623      
              961.951E-06       -214.23       
              964.6E-06         -216.684      
              967.25E-06        -205.972      
              969.901E-06       -200.95       
              972.551E-06       -218.19       
              975.2E-06         -219.665      
              977.851E-06       -206.461      
              980.501E-06       -218.842      
              983.151E-06       -203.163      
              985.801E-06       -208.306      
              988.451E-06       -143.218      
              991.1E-06         -196.112      
              993.75E-06        -221.614      
              996.4E-06         -244.82       
              999.05E-06        -219.222      
                1.0017E-03      -225.647      
                1.00435E-03     -185.86       
                1.007E-03       -219.968      
                1.00965E-03     -216.223      
                1.0123E-03      -215.626      
                1.01495E-03     -153.821      
                1.0176E-03      -121.306      
                1.02025E-03     -237.607      
                1.0229E-03      -213.967      
                1.02555E-03     -230.995      
                1.0282E-03      -222.928      
                1.03085E-03     -236.92       
                1.0335E-03      -227.597      
